0.000,0.000,32.944,5.205,4.351,0.000,0.000,0.000,35.140,0.000
0.000,0.000,32.349,12.640,0.000,14.386,4.994,0.000,0.000,11.533
32.944,32.349,0.000,0.000,0.000,27.272,0.000,0.000,0.000,13.483
5.205,12.640,0.000,0.000,0.000,0.000,43.642,25.907,0.000,0.000
4.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,14.386,27.272,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,4.994,0.000,43.642,0.000,0.000,0.000,0.000,0.000,40.309
0.000,0.000,0.000,25.907,0.000,0.000,0.000,0.000,8.635,11.232
35.140,0.000,0.000,0.000,0.000,0.000,0.000,8.635,0.000,41.428
0.000,11.533,13.483,0.000,0.000,0.000,40.309,11.232,41.428,0.000
